label,img_distance,anomaly_score,z_distance,similarity
0,0.05056132376194,0.07010447978973389,0.02522655948996544,0.0010609932942315936
0,0.042244430631399155,0.05579135939478874,0.028620051220059395,0.0009103734046220779
0,0.041094820946455,0.053135864436626434,0.0194251611828804,0.0008481192053295672
0,0.03326291963458061,0.043111495673656464,0.026797866448760033,0.0006894988473504782
0,0.0249510295689106,0.03198789805173874,0.023061539977788925,0.0006285482668317854
0,0.030120816081762314,0.04036373272538185,0.034230053424835205,0.0006793572101742029
0,0.011822662316262722,0.01569104753434658,0.018788641318678856,0.0003445911861490458
0,0.023643292486667633,0.030691564083099365,0.013263276778161526,0.0005944331642240286
0,0.010620898567140102,0.01291993260383606,0.018446704372763634,0.0003889086947310716
0,0.14286303520202637,0.20123694837093353,0.046712540090084076,0.001973954262211919
0,0.031871262937784195,0.04011034592986107,0.024727454409003258,0.0007289506029337645
0,0.03798958659172058,0.051255203783512115,0.024431148543953896,0.0008301048655994236
0,0.038944534957408905,0.05128995701670647,0.021481743082404137,0.0008115964592434466
0,0.033781591802835464,0.042247872799634933,0.02004600502550602,0.0008123365696519613
0,0.03960171341896057,0.04992165416479111,0.017058683559298515,0.0009171481360681355
0,0.038846489042043686,0.04998599737882614,0.023820940405130386,0.0007743078167550266
0,0.045161377638578415,0.060168925672769547,0.025082817301154137,0.0009742171387188137
0,0.13995429873466492,0.19538207352161407,0.036530859768390656,0.0023333290591835976
0,0.07449426501989365,0.0997876450419426,0.02134854532778263,0.0015287166461348534
0,0.10429368913173676,0.14030691981315613,0.029311643913388252,0.0017281995387747884
0,0.11388742923736572,0.16081568598747253,0.03797227889299393,0.001829235814511776
0,0.1167290210723877,0.16677555441856384,0.034993816167116165,0.001961685484275222
0,0.1203196793794632,0.17192129790782928,0.040035542100667953,0.0021681387443095446
0,0.0573357455432415,0.07650816440582275,0.02765011414885521,0.0012036353582516313
0,0.06380236148834229,0.09478431195020676,0.03809294104576111,0.0013590942835435271
0,0.0689612627029419,0.0925258994102478,0.02283417619764805,0.001414889469742775
0,0.019038168713450432,0.02577458880841732,0.028506705537438393,0.0005098157562315464
0,0.009728718549013138,0.01377527043223381,0.018726134672760963,0.00026174934464506805
0,0.047666411846876144,0.061005234718322754,0.029384609311819077,0.000955738767515868
0,0.04137326776981354,0.05722887068986893,0.01948455534875393,0.0009135995642282069
0,0.03349282592535019,0.04496245086193085,0.03319067880511284,0.0007507686386816204
0,0.03135666996240616,0.0419413298368454,0.02376384288072586,0.000746462435927242
0,0.030145928263664246,0.03981010243296623,0.028283249586820602,0.0006870702491141856
0,0.05020612105727196,0.06401065737009048,0.01831219345331192,0.001065062708221376
0,0.06698933243751526,0.08914411813020706,0.022226199507713318,0.0012556369183585048
0,0.0838795155286789,0.11012286692857742,0.023883143439888954,0.0015594466822221875
